#Fri May 30 14:23:36 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
              42           14.65            10.8
              43           41.93            9.86
              44          -11.38           9.733
              45           16.32           8.253
              46           18.43           8.664
              47           44.69           10.13
              48          -39.22           10.83
              49          -22.35           7.696
              50         -0.8637           16.93
              51           18.71           8.325
              52           -49.2           8.923
              53          -13.89           7.978
              54          -14.48           10.82
              55           29.68           7.618
              56          -21.73           8.155
              57          -16.85           8.957
              58          -8.754           9.304
              59           38.87           8.122
              60           -19.5           7.548
              61          -16.43           12.65
              62           2.576           8.367
              63           52.83           9.258
              64          -42.71           9.365
              65          -11.44           7.817
              66           1.965           16.62
              67           20.05           12.23
              68          -25.36           8.948
              69           2.643           7.677
              70           16.71           13.16
              71            45.8           10.22
              72          -25.54           8.091
              73          -3.557            7.53
              74           15.93           10.88
              75           46.78           10.14
              76          -23.49           8.247
              77           10.22           7.457
              78            33.6           9.677
              79           79.23           10.54
              80          -28.86           10.79
              81          -16.74           7.642
              82          0.1337           13.13
              83           43.29           7.661
              84          -29.74           9.404
              85           -10.6           7.248
              86           10.13           8.983
              87           29.72            7.49
              88          -24.67           8.097
              89          -23.81           8.414
              90           27.31           8.043
              91           43.63           8.428
              92          -19.07           7.444
              93          -2.073           11.93
              94           5.788           7.771
              95           92.45           9.704
              96          -40.26           8.783
              97          -13.67           8.117
              98         -0.3642           14.62
              99            11.7           11.91
             100          -34.87           8.612
             101          -4.909           8.019
             102           8.675           11.33
             103           33.42           9.779
             104          -28.24           8.236
             105          -2.923           7.876
             106           3.384           10.48
             107           47.97           10.24
             108          -26.49           7.902
             109            2.42            7.72
             110           28.84           11.24
             111           71.87           10.81
             112          -25.66           10.62
             113          -3.619           7.404
             114          -12.15           11.57
             115           19.84           7.539
             116          -34.85           8.652
             117          -28.88           7.252
             118           6.091            8.62
             119           38.81           7.558
             120          -39.13           7.709
             121          0.9578           8.563
             122           15.64            7.82
             123            39.9           8.741
             124          -26.11           7.203
             125            7.88           15.62
             126           16.45           8.005
             127           118.6           10.38
APV               11              11               1               6
               0           97.75           30.26
               1          -8.853           24.29
               2          -12.42           22.52
               3          -84.41           15.53
               4          -120.4           33.11
               5          -51.11           10.28
               6           2.496            14.7
               7           43.28           10.69
               8          -66.37           8.399
               9          -11.54           8.942
              10           26.16           10.38
              11           49.82           10.39
              12          -53.33           9.132
              13          -6.837           9.167
              14           55.76           10.24
              15           32.48           10.27
              16          -58.29           10.46
              17          -30.32           8.141
              18           4.658            23.4
              19           34.36           8.891
              20          -76.06           9.605
              21          -34.97           8.186
              22           32.45           11.86
              23            37.6            7.96
              24          -52.11           8.779
              25          -27.14            8.62
              26           9.652           9.648
              27           63.83           8.383
              28          -39.62           8.102
              29          -14.28            11.2
              30           45.49           8.855
              31           71.36           9.083
              32          -51.82           10.47
              33          -23.02           9.409
              34           9.894           10.81
              35           42.65            10.9
              36          -76.33           8.964
              37           -20.9           9.232
              38           11.39           10.98
              39           57.57           10.21
              40          -44.63           8.752
              41          -14.76           8.543
              42           34.24           11.73
              43           59.81           10.65
              44          -35.01           10.19
              45          -3.021            8.85
              46            49.4           9.322
              47           73.61           10.84
              48          -58.92           12.37
              49          -37.39           8.033
              50         -0.3221           18.28
              51           26.33           8.406
              52          -82.67            9.32
              53           -30.4           8.282
              54           23.45           11.06
              55           62.49           7.842
              56          -51.54           8.489
              57          -27.04           9.225
              58           11.45           9.563
              59           74.75           8.531
              60          -29.06           7.885
              61          0.1776           13.25
              62           47.13           8.513
              63           80.86           9.799
              64           -58.2           9.696
              65          -42.59            8.17
              66           8.141           16.49
              67           41.91           12.43
              68          -71.47           8.928
              69          -33.63           8.026
              70           37.65           13.61
              71           42.45           10.75
              72          -51.71           8.516
              73          -16.78            7.92
              74           27.01           11.62
              75           39.21           10.37
              76           -38.5           8.748
              77          -29.34           7.994
              78           19.28           10.16
              79            84.6           11.47
              80          -55.81            11.2
              81          -26.41           8.116
              82          -5.263           13.77
              83           40.24           7.798
              84           -56.9           9.807
              85          -31.21           7.708
              86           16.14           9.197
              87           42.66             7.8
              88          -39.75           8.665
              89           -26.1           8.739
              90           20.25           8.115
              91           35.99           8.554
              92          -54.34           7.798
              93           -15.3           12.28
              94           37.74           7.819
              95           91.84           10.45
              96          -76.12           9.093
              97          -30.03           8.395
              98           35.07           15.36
              99           48.79           12.38
             100             -61           8.881
             101          -22.47           8.426
             102           42.79           11.69
             103           66.66           10.73
             104          -50.12           8.694
             105          -9.428           9.126
             106           14.42           11.25
             107           72.47            10.8
             108          -51.29           8.425
             109          -23.79           8.638
             110           60.61           11.81
             111           108.5           11.88
             112          -61.68           11.09
             113          -48.51            7.81
             114           7.526           12.26
             115           39.54           7.757
             116          -58.23           9.178
             117          -23.16           7.479
             118           48.06           8.703
             119           63.05           7.886
             120          -45.75           8.044
             121          -16.08           8.702
             122           56.01           7.959
             123           56.78           8.952
             124          -38.52           7.713
             125          -12.21           15.84
             126              50           8.168
             127           112.1           11.48
APV               11              11               1               7
               0           116.9           30.03
               1          -27.11           24.54
               2          -33.32           23.06
               3          -43.08           17.92
               4          -103.8           9.876
               5          -75.12           8.662
               6           4.899           15.17
               7           67.95           11.21
               8          -47.68           7.824
               9          -33.61           8.924
              10           19.07            10.2
              11           92.23           10.35
              12          -74.38           8.644
